metric_name,Console_Name,Description,unit_name
aws.rds.freeable_memory,Freeable Memory (MB),"The amount of available random access memory.
For MariaDB, MySQL, Oracle, and PostgreSQL DB instances, this metric
                                                   reports the value of the MemAvailable field of
                                                   /proc/meminfo.",Guage
aws.rds.free_storage_space,Free Storage Space (MB/Second),The amount of available storage space.,Guage
aws.rds.maximum_used_transaction_i_ds,Maximum Used Transaction IDs (Count),The maximum transaction IDs that have been used. Applies to PostgreSQL.,Count
aws.rds.network_receive_throughput,Network Receive Throughput (MB/Second),"The incoming (receive) network traffic on the DB instance, including both customer
                                                   database
                                                   traffic and Amazon RDS traffic used for monitoring and replication.",Guage
aws.rds.network_transmit_throughput,Network Transmit Throughput (MB/Second),"The outgoing (transmit) network traffic on the DB instance, including both customer
                                                   database traffic and Amazon RDS traffic used for monitoring and replication.",Guage
aws.rds.oldest_replication_slot_lag,Oldest Replication Slot Lag (MB),"The lagging size of the replica lagging the most in terms of write-ahead log (WAL)
                                                   data
                                                   received. Applies to PostgreSQL.",Guage
aws.rds.read_i_o_p_s,Read IOPS (Count/Second),The average number of disk read I/O operations per second.,Count/Second
aws.rds.read_latency,Read Latency (Milliseconds),The average amount of time taken per disk I/O operation.,Guage
aws.rds.read_throughput,Read Throughput (MB/Second),The average number of bytes read from disk per second.,Guage
aws.rds.replica_lag,Replica Lag (Milliseconds),"The amount of time a read replica DB instance lags behind the source DB instance.
                                                   Applies
                                                   to MySQL, MariaDB, Oracle, PostgreSQL, and SQL Server read replicas.",Guage
aws.rds.replication_slot_disk_usage,Replica Slot Disk Usage (MB),The disk space used by replication slot files. Applies to PostgreSQL.,Guage
aws.rds.swap_usage,Swap Usage (MB),"The amount of swap space used on the DB instance. This metric is not available for
                                                   SQL
                                                   Server.",Guage
aws.rds.transaction_logs_disk_usage,Transaction Logs Disk Usage (MB),The disk space used by transaction logs. Applies to PostgreSQL.,Guage
aws.rds.transaction_logs_generation,Transaction Logs Generation (MB/Second),The size of transaction logs generated per second. Applies to PostgreSQL.,Guage
aws.rds.write_i_o_p_s,Write IOPS (Count/Second),The average number of disk write I/O operations per second.,Count/Second
aws.rds.write_latency,Write Latency (Milliseconds),The average amount of time taken per disk I/O operation.,Guage
aws.rds.write_throughput,Write Throughput (MB/Second),The average number of bytes written to disk per second.,Guage
aws.s3.d_b_instance_identifier, ,a specific _d_b instance., 
aws.s3.database_class, ,"all instances in a database class. _for example, you can aggregate metrics for all
                                                   instances
                                                   that belong to the database class db.r5.large.", 
aws.s3.engine_name, ,"the identified engine name only. _for example, you can aggregate metrics for all instances
                                                   that have the engine name mysql.", 
aws.s3.source_region, ,"the specified _region only. _for example, you can aggregate metrics for all _d_b instances
                                                   in
                                                   the us-east-1 _region.", 
